G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
57,Thu Feb 25 2016,7:00p EST,,Box Score,@,Orlando Magic,W,,130,114,52,5,W 4,
58,Sat Feb 27 2016,8:30p EST,,Box Score,@,Oklahoma City Thunder,W,OT,121,118,53,5,W 5,
59,Tue Mar 1 2016,10:30p EST,,Box Score,,Atlanta Hawks,W,OT,109,105,54,5,W 6,
60,Thu Mar 3 2016,10:30p EST,,Box Score,,Oklahoma City Thunder,W,,121,106,55,5,W 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 6 2016,3:30p EST,,Box Score,@,Los Angeles Lakers,L,,95,112,55,6,L 1,
62,Mon Mar 7 2016,10:30p EST,,Box Score,,Orlando Magic,W,,119,113,56,6,W 1,
63,Wed Mar 9 2016,10:30p EST,,Box Score,,Utah Jazz,W,,115,94,57,6,W 2,
64,Fri Mar 11 2016,10:30p EST,,Box Score,,Portland Trail Blazers,W,,128,112,58,6,W 3,
65,Sat Mar 12 2016,10:30p EST,,Box Score,,Phoenix Suns,W,,123,116,59,6,W 4,
66,Mon Mar 14 2016,10:30p EST,,Box Score,,New Orleans Pelicans,W,,125,107,60,6,W 5,
67,Wed Mar 16 2016,10:30p EST,,Box Score,,New York Knicks,W,,121,85,61,6,W 6,
68,Fri Mar 18 2016,8:30p EST,,Box Score,@,Dallas Mavericks,W,,130,112,62,6,W 7,
69,Sat Mar 19 2016,8:30p EST,,Box Score,@,San Antonio Spurs,L,,79,87,62,7,L 1,
70,Mon Mar 21 2016,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,109,104,63,7,W 1,
71,Wed Mar 23 2016,10:30p EST,,Box Score,,Los Angeles Clippers,W,,114,98,64,7,W 2,
72,Fri Mar 25 2016,10:30p EST,,Box Score,,Dallas Mavericks,W,,128,120,65,7,W 3,
73,Sun Mar 27 2016,8:00p EST,,Box Score,,Philadelphia 76ers,W,,117,105,66,7,W 4,
74,Tue Mar 29 2016,10:30p EST,,Box Score,,Washington Wizards,W,,102,94,67,7,W 5,
75,Wed Mar 30 2016,9:00p EST,,Box Score,@,Utah Jazz,W,OT,103,96,68,7,W 6,
76,Fri Apr 1 2016,10:30p EST,,Box Score,,Boston Celtics,L,,106,109,68,8,L 1,
77,Sun Apr 3 2016,8:00p EST,,Box Score,,Portland Trail Blazers,W,,136,111,69,8,W 1,
78,Tue Apr 5 2016,10:30p EST,,Box Score,,Minnesota Timberwolves,L,OT,117,124,69,9,L 1,
79,Thu Apr 7 2016,10:30p EST,,Box Score,,San Antonio Spurs,W,,112,101,70,9,W 1,
80,Sat Apr 9 2016,8:00p EST,,Box Score,@,Memphis Grizzlies,W,,100,99,71,9,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Sun Apr 10 2016,7:00p EST,,Box Score,@,San Antonio Spurs,W,,92,86,72,9,W 3,
82,Wed Apr 13 2016,10:30p EST,,Box Score,,Memphis Grizzlies,W,,125,104,73,9,W 4,
