G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sat Apr 19 2014,,,Box Score,@,Los Angeles Clippers,W,,109,105,1,0,W 1,
2,Mon Apr 21 2014,,,Box Score,@,Los Angeles Clippers,L,,98,138,1,1,L 1,
3,Thu Apr 24 2014,10:30p EST,,Box Score,,Los Angeles Clippers,L,,96,98,1,2,L 2,
4,Sun Apr 27 2014,3:30p EST,,Box Score,,Los Angeles Clippers,W,,118,97,2,2,W 1,
5,Tue Apr 29 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,103,113,2,3,L 1,
6,Thu May 1 2014,10:30p EST,,Box Score,,Los Angeles Clippers,W,,100,99,3,3,W 1,
7,Sat May 3 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,121,126,3,4,L 1,
